domain,"domain_type","domain_wc","match_depth","sort_order"
"s3-accesspoint.dualstack.ca-west-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ca-west-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.ca-west-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ca-west-1.amazonaws.com",6,4
"s3-accesspoint-fips.dualstack.ca-west-1.amazonaws.com",PRIVATE,"*.s3-accesspoint-fips.dualstack.ca-west-1.amazonaws.com",6,4
"s3-accesspoint-fips.dualstack.ca-west-1.amazonaws.com",PRIVATE,"s3-accesspoint-fips.dualstack.ca-west-1.amazonaws.com",6,4
"s3-fips.dualstack.ca-west-1.amazonaws.com",PRIVATE,"*.s3-fips.dualstack.ca-west-1.amazonaws.com",6,4
"s3-fips.dualstack.ca-west-1.amazonaws.com",PRIVATE,"s3-fips.dualstack.ca-west-1.amazonaws.com",6,4
"s3-website.dualstack.ca-west-1.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ca-west-1.amazonaws.com",6,4
"s3-website.dualstack.ca-west-1.amazonaws.com",PRIVATE,"s3-website.dualstack.ca-west-1.amazonaws.com",6,4
"s3.dualstack.eu-central-1.amazonaws.com",PRIVATE,"*.s3.dualstack.eu-central-1.amazonaws.com",6,4
"s3.dualstack.eu-central-1.amazonaws.com",PRIVATE,"s3.dualstack.eu-central-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-central-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.eu-central-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-central-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.eu-central-1.amazonaws.com",6,4
"s3-website.dualstack.eu-central-1.amazonaws.com",PRIVATE,"*.s3-website.dualstack.eu-central-1.amazonaws.com",6,4
"s3-website.dualstack.eu-central-1.amazonaws.com",PRIVATE,"s3-website.dualstack.eu-central-1.amazonaws.com",6,4
"s3.dualstack.eu-central-2.amazonaws.com",PRIVATE,"*.s3.dualstack.eu-central-2.amazonaws.com",6,4
"s3.dualstack.eu-central-2.amazonaws.com",PRIVATE,"s3.dualstack.eu-central-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-central-2.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.eu-central-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-central-2.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.eu-central-2.amazonaws.com",6,4
"s3-website.dualstack.eu-central-2.amazonaws.com",PRIVATE,"*.s3-website.dualstack.eu-central-2.amazonaws.com",6,4
"s3-website.dualstack.eu-central-2.amazonaws.com",PRIVATE,"s3-website.dualstack.eu-central-2.amazonaws.com",6,4
"s3.dualstack.eu-north-1.amazonaws.com",PRIVATE,"*.s3.dualstack.eu-north-1.amazonaws.com",6,4
"s3.dualstack.eu-north-1.amazonaws.com",PRIVATE,"s3.dualstack.eu-north-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-north-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.eu-north-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-north-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.eu-north-1.amazonaws.com",6,4
"s3.dualstack.eu-south-1.amazonaws.com",PRIVATE,"*.s3.dualstack.eu-south-1.amazonaws.com",6,4
"s3.dualstack.eu-south-1.amazonaws.com",PRIVATE,"s3.dualstack.eu-south-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-south-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.eu-south-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-south-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.eu-south-1.amazonaws.com",6,4
"s3-website.dualstack.eu-south-1.amazonaws.com",PRIVATE,"*.s3-website.dualstack.eu-south-1.amazonaws.com",6,4
"s3-website.dualstack.eu-south-1.amazonaws.com",PRIVATE,"s3-website.dualstack.eu-south-1.amazonaws.com",6,4
"s3.dualstack.eu-south-2.amazonaws.com",PRIVATE,"*.s3.dualstack.eu-south-2.amazonaws.com",6,4
"s3.dualstack.eu-south-2.amazonaws.com",PRIVATE,"s3.dualstack.eu-south-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-south-2.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.eu-south-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-south-2.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.eu-south-2.amazonaws.com",6,4
"s3-website.dualstack.eu-south-2.amazonaws.com",PRIVATE,"*.s3-website.dualstack.eu-south-2.amazonaws.com",6,4
